"X" 	"Y"
0 	80
984562.39320535294 	81.099999999999994
2013974.9017546501 	82
5043159.4871713603 	83
7101520.6027803402 	84.900000000000006
8968146.67757928 	86
10316051.7838208 	87
12433534.237776 	89
16197927.8235767 	92.099999999999994
19221345.439899102 	94.299999999999997
22456979.955397699 	97.700000000000003
26648678.396461502 	101.09999999999999
29714811.046840101 	106
33653251.1825056 	111
35814101.001254603 	115
38711307.293912999 	119
42498967.427337602 	123.2
47388796.097176597 	124.7
51222345.297516301 	124.7
55366012.092767999 	121.8
58921021.876123004 	115
62704296.150309898 	108.40000000000001
64686076.615463302 	100
67776803.244011104 	90
74408340.992638707 	70.5
80427654.830576405 	50.299999999999997
89681466.775792897 	32.700000000000003
103160517.838208 	20
113254131.51528101 	14.5
124335342.37775999 	10.199999999999999
145265392.59467801 	7.0999999999999996
161979278.23576701 	5
177827941.003892 	4
204555335.00501999 	3
