"X" 	"Y"
0 	1400
100000 	1417.0999999999999
200766.192600726 	1433.5
305003.57704900601 	1466.8
500670.00014591898 	1501
693117.99591213802 	1535.8
901897.01733587205 	1553.5999999999999
1052983.39990274 	1589.7
1229379.8728217999 	1626.7
1413266.99027895 	1683.8
1624659.41566756 	1742.8
1782875.7431197499 	1763
1896823.4314013 	1763
2114034.6807024102 	1742.8
2430245.9285297599 	1683.8
2708541.07477587 	1608.0999999999999
3018704.6782488702 	1466.8
3524400.0748491902 	1307.5999999999999
3989301.5064413799 	1100.5
5111168.2738675 	719.29999999999995
6650739.7708473001 	404.80000000000001
8654056.5932219792 	200.80000000000001
11615085.780399 	100.7
13987493.905634699 	60.700000000000003
15113748.7169935 	50.5
16844471.8755618 	39.700000000000003
19364019.6953706 	31.899999999999999
