"X" 	"Y"
0 	900
98456.2393205353 	911.10000000000002
195227.29664010301 	921.79999999999995
393182.87557057699 	932.60000000000002
496530.51740057103 	943.5
699189.01200705301 	954.5
882969.99554940895 	977
1031605.17838208 	1000
1205260.9368708399 	1023.5
1343935.35275693 	1072.2
1522062.3118916899 	1110.3
1645190.58775366 	1149.7
1892461.3866933901 	1176.8
2176896.7843509801 	1176.8
2583224.56642337 	1149.7
3018072.92782128 	1110.3
3418092.28290181 	1072.2
3811369.73534028 	1035.5
4316533.6925959 	965.70000000000005
4738879.6097176597 	890.20000000000005
5122234.5297516296 	792.39999999999998
5451129.3368292097 	705.39999999999998
6368747.8399585299 	509.39999999999998
7440834.0992638702 	301.80000000000001
8296958.5208349098 	200.90000000000001
9543984.59640822 	132.19999999999999
11325413.1515281 	74.700000000000003
13439353.5275693 	39.899999999999999
15220623.118916901 	27.100000000000001
16451905.8775366 	20.300000000000001
18061622.323899001 	16.399999999999999
