"X" 	"Y"
0 	2100
98459.681589469503 	2102
145143.553917749 	2104
201080.88432108 	2107
301059.04897666298 	2110
398107.17055349698 	2114
487125.03436440398 	2120
596047.538592714 	2160
685417.29102332203 	2245
800517.41909460397 	2436.8000000000002
892404.59489460895 	2583.1999999999998
979515.32684930996 	2770.5
1144002.48094462 	2869.1999999999998
1336111.48343856 	2869.1999999999998
1466533.9957847199 	2613.5
1560480.7908303901 	2193.9000000000001
1686422.1282712601 	1619.8
1822527.7821007699 	1224.0999999999999
1909408.6092480901 	893.29999999999995
2031726.14146151 	691
2195700.16092578 	504.30000000000001
2300370.3053385299 	404
2486025.7229290502 	301.80000000000001
2771383.5142741501 	200.59999999999999
3236773.87078434 	138.09999999999999
3780315.87350919 	99.599999999999994
4846109.8954332098 	59.600000000000001
6212385.9234057004 	39.600000000000001
7255613.7858727695 	30.600000000000001
