"X" 	"Y"
0 	1800
98459.681589469503 	1805
128193.25309275401 	1810
164335.10138502999 	1815
197983.598439825 	1836
246043.12589684501 	1880
296421.78101870802 	1923.2
346199.02680051897 	2014.5999999999999
391975.05251181999 	2086
450746.729490244 	2160
502485.57112693402 	2236.5
596047.538592714 	2426
696140.06460145698 	2631.1999999999998
752323.26871217601 	2724.5
800517.41909460397 	2821.0999999999999
825760.17275659204 	2921.0999999999999
851798.907364454 	2989.6999999999998
892404.59489461 	3024.5999999999999
920544.83121979597 	2989.6999999999998
949572.41494880302 	2887.4000000000001
994839.01535801101 	2788.5
1058568.8282010199 	2454.1999999999998
1217287.7691943001 	1923.2
1378243.1500792899 	1422.0999999999999
1466533.9957847199 	1208.8
1536444.4179164399 	1003.8
1584893.19246111 	904.20000000000005
1660445.85775024 	805.10000000000002
1712804.77556574 	692.29999999999995
1766814.7296146899 	602.29999999999995
1879997.6369075901 	500.19999999999999
2000431.08965302 	405.89999999999998
2195700.16092578 	300.10000000000002
2604535.8346754001 	200
2948919.5275931899 	139.5
3552726.6826243298 	90.700000000000003
4415133.3006289396 	60.399999999999999
5659903.0064577404 	39.799999999999997
7963859.6098901201 	24.100000000000001
8741239.7845002003 	21.199999999999999
