"X" 	"Y"
0 	2000
98459.681589469503 	2027.2
197983.598439825 	2051
398107.17055349698 	2100
494745.69336460601 	2124
596047.538592714 	2174
696140.06460145698 	2251.3000000000002
788186.90190878604 	2304.4000000000001
892404.59489460895 	2386.3000000000002
994839.01535801101 	2500.1999999999998
1126381.2001137 	2589.0999999999999
1255672.56203026 	2619.4000000000001
1378243.1500792899 	2619.4000000000001
1536444.4179164399 	2559.0999999999999
1712804.77556574 	2414.3000000000002
1822527.7821007699 	2251.3000000000002
1969618.08128912 	2075
2161879.38710699 	1846.9000000000001
2372907.9910452198 	1550.8
2604535.8346754098 	1242.9000000000001
2814739.4644535999 	1019.6
3287410.4593189401 	603.60000000000002
3780315.8735091998 	300
4214238.4103124104 	188.30000000000001
4625604.9526342601 	122.3
4846109.8954332098 	100.3
5156553.7681451002 	88.299999999999997
5402369.31126385 	77.700000000000003
5659903.0064577302 	70
6116695.3992942804 	60.100000000000001
6713767.4184487797 	49.299999999999997
7963859.6098901201 	39.5
9016877.7123170197 	34.299999999999997
10209130.705658101 	31.300000000000001
11559028.866814701 	28.800000000000001
