"X" 	"Y"
0 	2000
96936.3106114252 	2020
198288.39491270701 	2056.5
297148.11046840099 	2080.5
393182.87557057699 	2104.9000000000001
496530.51740057103 	2129.5
598448.83658717701 	2154.4000000000001
791860.44319886295 	2179.5999999999999
882969.99554940895 	2179.5999999999999
984562.39320535294 	2179.5999999999999
1115057.5876507901 	2154.4000000000001
1282649.83052806 	2129.5
1430228.42582931 	2080.5
1570167.3627676701 	2032.7
1723798.45245435 	1963
1834482.2480063899 	1895.7
1952272.9664010301 	1830.7
2110203.4285686002 	1707.3
2245697.9955397798 	1592.2
2504082.5894988002 	1417.4000000000001
3113459.6610752102 	1047.5999999999999
4056094.90489764 	642.79999999999995
5451129.3368292097 	327.39999999999998
7557503.8723949296 	141.69999999999999
9693631.0611425191 	67.299999999999997
11325413.1515281 	42.700000000000003
11866545.924424799 	35.899999999999999
12433534.237776 	30.899999999999999
13231882.072236501 	26.5
14081491.217648299 	23.100000000000001
