"X" 	"Y"
0 	2000
96943.0889869971 	2051
154441.512063489 	2075
238521.80648456799 	2100
351615.01765159599 	2124
464960.14744351897 	2148.8000000000002
526439.31409747002 	2174
586866.50862025598 	2251.3000000000002
696140.06460145698 	2386.4000000000001
800517.41909460397 	2529.5
892404.59489460895 	2712.5999999999999
994839.01535800996 	2842
1091948.7291590299 	2943
1217287.7691943001 	2943
1315531.1122739399 	2842
1378243.1500792899 	2712.5999999999999
1466533.9957847199 	2500.1999999999998
1536444.4179164399 	2251.3000000000002
1609687.50545972 	2027.2
1686422.1282712601 	1605.9000000000001
1794455.0511360399 	1242.9000000000001
1909408.6092480901 	918.10000000000002
2000431.08965302 	710.5
2161879.38710699 	512.79999999999995
2300370.3053385299 	396.80000000000001
2486025.7229290502 	303.60000000000002
2728695.38377738 	234.90000000000001
3041907.9466187898 	173.5
3498003.37945604 	119.5
4415133.3006289396 	72.400000000000006
5486884.8081280496 	50.5
7369121.7244894896 	30.899999999999999
