"X" 	"Y"
0 	2700
100000 	2712
126152.79033495599 	2732
159145.265092955 	2750.4000000000001
200766.192600726 	2848
295700.47212625301 	3018.5
396875.88266304502 	3200
500670.00014591898 	3236.6999999999998
602933.005246785 	3236.6999999999998
796792.598973118 	3089.5
974516.59179126797 	2848
1328367.9407412 	2448.4000000000001
1624659.4156675499 	2032.7
2018053.77845186 	1401
2430245.9285297501 	811.10000000000002
2750818.1641727001 	509.39999999999998
3211637.0354356002 	305.30000000000001
3692024.4972941699 	200.90000000000001
4955269.3326495299 	81.099999999999994
5785379.3160776496 	50.899999999999999
6967056.4174379604 	30.100000000000001
7886076.5155149698 	21.300000000000001
